affy_hta_2_0	ensembl_gene_id	external_gene_name	entrezgene
TC04001102.hg	ENSG00000210049	MT-TF	NA
TC04000491.hg	ENSG00000210049	MT-TF	NA
TC02000740.hg	ENSG00000210049	MT-TF	NA
TC07000959.hg	ENSG00000210049	MT-TF	NA
TC0M000002.hg	ENSG00000210049	MT-TF	NA
TC11001412.hg	ENSG00000210049	MT-TF	NA
TC0M000020.hg	ENSG00000210049	MT-TF	NA
TC07001932.hg	ENSG00000210049	MT-TF	NA
TC09000152.hg	ENSG00000210049	MT-TF	NA
TC0M000003.hg	ENSG00000211459	MT-RNR1	4549
TC04001102.hg	ENSG00000211459	MT-RNR1	4549
TC04000491.hg	ENSG00000211459	MT-RNR1	4549
TC02000740.hg	ENSG00000211459	MT-RNR1	4549
TC07000959.hg	ENSG00000211459	MT-RNR1	4549
TC0M000002.hg	ENSG00000211459	MT-RNR1	4549
TC11001412.hg	ENSG00000211459	MT-RNR1	4549
TC0M000020.hg	ENSG00000211459	MT-RNR1	4549
TC07001932.hg	ENSG00000211459	MT-RNR1	4549
TC09000152.hg	ENSG00000211459	MT-RNR1	4549
TC0M000003.hg	ENSG00000210077	MT-TV	NA
TC04001102.hg	ENSG00000210077	MT-TV	NA
TC04000491.hg	ENSG00000210077	MT-TV	NA
TC02000740.hg	ENSG00000210077	MT-TV	NA
TC07000959.hg	ENSG00000210077	MT-TV	NA
TC0M000002.hg	ENSG00000210077	MT-TV	NA
TC11001412.hg	ENSG00000210077	MT-TV	NA
TC0M000020.hg	ENSG00000210077	MT-TV	NA
TC07001932.hg	ENSG00000210077	MT-TV	NA
TC09000152.hg	ENSG00000210077	MT-TV	NA
TC01004109.hg	ENSG00000210082	MT-RNR2	4550
TC0M000003.hg	ENSG00000210082	MT-RNR2	4550
TC04001102.hg	ENSG00000210082	MT-RNR2	4550
TC04000491.hg	ENSG00000210082	MT-RNR2	4550
TC02000740.hg	ENSG00000210082	MT-RNR2	4550
TC07000959.hg	ENSG00000210082	MT-RNR2	4550
TC0M000002.hg	ENSG00000210082	MT-RNR2	4550
TC11001412.hg	ENSG00000210082	MT-RNR2	4550
TC0M000020.hg	ENSG00000210082	MT-RNR2	4550
TC07001932.hg	ENSG00000210082	MT-RNR2	4550
TC09000152.hg	ENSG00000210082	MT-RNR2	4550
TC01004109.hg	ENSG00000209082	MT-TL1	NA
TC0M000003.hg	ENSG00000209082	MT-TL1	NA
TC0M000004.hg	ENSG00000198888	MT-ND1	4535
TC01004109.hg	ENSG00000198888	MT-ND1	4535
TC0M000003.hg	ENSG00000198888	MT-ND1	4535
TC0M000004.hg	ENSG00000210100	MT-TI	NA
TC01004109.hg	ENSG00000210100	MT-TI	NA
TC03002425.hg	ENSG00000210107	MT-TQ	NA
TC0M000004.hg	ENSG00000210112	MT-TM	NA
TC01004109.hg	ENSG00000210112	MT-TM	NA
TC0M000004.hg	ENSG00000198763	MT-ND2	4536
TC0M000021.hg	ENSG00000198763	MT-ND2	4536
TC01004109.hg	ENSG00000198763	MT-ND2	4536
TC01004110.hg	ENSG00000198763	MT-ND2	4536
TC0M000004.hg	ENSG00000210117	MT-TW	NA
TC0M000021.hg	ENSG00000210117	MT-TW	NA
TC01004110.hg	ENSG00000210117	MT-TW	NA
TC01002064.hg	ENSG00000210135	MT-TN	NA
TC01002064.hg	ENSG00000210140	MT-TC	NA
TC01002064.hg	ENSG00000210144	MT-TY	NA
TC0M000004.hg	ENSG00000198804	MT-CO1	4512
TC0M000021.hg	ENSG00000198804	MT-CO1	4512
TC0M000022.hg	ENSG00000198804	MT-CO1	4512
TC0M000005.hg	ENSG00000198804	MT-CO1	4512
TC01000013.hg	ENSG00000198804	MT-CO1	4512
TC01004110.hg	ENSG00000198804	MT-CO1	4512
TC01002064.hg	ENSG00000210151	MT-TS1	NA
TC0M000021.hg	ENSG00000210154	MT-TD	NA
TC0M000022.hg	ENSG00000210154	MT-TD	NA
TC0M000005.hg	ENSG00000210154	MT-TD	NA
TC01000013.hg	ENSG00000210154	MT-TD	NA
TC0M000006.hg	ENSG00000210154	MT-TD	NA
TC0M000021.hg	ENSG00000198712	MT-CO2	4513
TC0M000022.hg	ENSG00000198712	MT-CO2	4513
TC0M000005.hg	ENSG00000198712	MT-CO2	4513
TC01000013.hg	ENSG00000198712	MT-CO2	4513
TC0M000006.hg	ENSG00000198712	MT-CO2	4513
TC0M000022.hg	ENSG00000210156	MT-TK	NA
TC0M000005.hg	ENSG00000210156	MT-TK	NA
TC01000013.hg	ENSG00000210156	MT-TK	NA
TC0M000006.hg	ENSG00000210156	MT-TK	NA
TC0M000022.hg	ENSG00000228253	MT-ATP8	4509
TC0M000005.hg	ENSG00000228253	MT-ATP8	4509
TC01000013.hg	ENSG00000228253	MT-ATP8	4509
TC0M000006.hg	ENSG00000228253	MT-ATP8	4509
TC0M000022.hg	ENSG00000198899	MT-ATP6	4508
TC0M000023.hg	ENSG00000198899	MT-ATP6	4508
TC0M000005.hg	ENSG00000198899	MT-ATP6	4508
TC0M000007.hg	ENSG00000198899	MT-ATP6	4508
TC01000013.hg	ENSG00000198899	MT-ATP6	4508
TC0M000006.hg	ENSG00000198899	MT-ATP6	4508
TC0M000008.hg	ENSG00000198938	MT-CO3	4514
TC0M000022.hg	ENSG00000198938	MT-CO3	4514
TC0M000023.hg	ENSG00000198938	MT-CO3	4514
TC08001295.hg	ENSG00000198938	MT-CO3	4514
TC0M000007.hg	ENSG00000198938	MT-CO3	4514
TC0M000006.hg	ENSG00000198938	MT-CO3	4514
TC0M000008.hg	ENSG00000210164	MT-TG	NA
TC0M000023.hg	ENSG00000210164	MT-TG	NA
TC08001295.hg	ENSG00000210164	MT-TG	NA
TC0M000007.hg	ENSG00000210164	MT-TG	NA
TC0M000006.hg	ENSG00000210164	MT-TG	NA
TC0M000008.hg	ENSG00000198840	MT-ND3	4537
TC0M000023.hg	ENSG00000198840	MT-ND3	4537
TC08001295.hg	ENSG00000198840	MT-ND3	4537
TC0M000007.hg	ENSG00000198840	MT-ND3	4537
TC0M000024.hg	ENSG00000198840	MT-ND3	4537
TC0M000006.hg	ENSG00000198840	MT-ND3	4537
TC0M000008.hg	ENSG00000210174	MT-TR	NA
TC0M000023.hg	ENSG00000210174	MT-TR	NA
TC08001295.hg	ENSG00000210174	MT-TR	NA
TC0M000007.hg	ENSG00000210174	MT-TR	NA
TC0M000024.hg	ENSG00000210174	MT-TR	NA
TC0M000006.hg	ENSG00000210174	MT-TR	NA
TC0M000008.hg	ENSG00000212907	MT-ND4L	4539
TC0M000023.hg	ENSG00000212907	MT-ND4L	4539
TC08001295.hg	ENSG00000212907	MT-ND4L	4539
TC0M000007.hg	ENSG00000212907	MT-ND4L	4539
TC0M000024.hg	ENSG00000212907	MT-ND4L	4539
TC0M000009.hg	ENSG00000212907	MT-ND4L	4539
TC0M000008.hg	ENSG00000198886	MT-ND4	4538
TC0M000023.hg	ENSG00000198886	MT-ND4	4538
TC08001295.hg	ENSG00000198886	MT-ND4	4538
TC0M000007.hg	ENSG00000198886	MT-ND4	4538
TC0M000024.hg	ENSG00000198886	MT-ND4	4538
TC0M000009.hg	ENSG00000198886	MT-ND4	4538
TC0M000008.hg	ENSG00000210176	MT-TH	NA
TC08001295.hg	ENSG00000210176	MT-TH	NA
TC0M000024.hg	ENSG00000210176	MT-TH	NA
TC0M000009.hg	ENSG00000210176	MT-TH	NA
TC0M000008.hg	ENSG00000210184	MT-TS2	NA
TC08001295.hg	ENSG00000210184	MT-TS2	NA
TC0M000024.hg	ENSG00000210184	MT-TS2	NA
TC0M000009.hg	ENSG00000210184	MT-TS2	NA
TC0M000008.hg	ENSG00000210191	MT-TL2	NA
TC08001295.hg	ENSG00000210191	MT-TL2	NA
TC0M000024.hg	ENSG00000210191	MT-TL2	NA
TC0M000009.hg	ENSG00000210191	MT-TL2	NA
TC0M000010.hg	ENSG00000198786	MT-ND5	4540
TC0M000008.hg	ENSG00000198786	MT-ND5	4540
TC0M000025.hg	ENSG00000198786	MT-ND5	4540
TC08001295.hg	ENSG00000198786	MT-ND5	4540
